SESSION; TIME;RPM;THROT;LAMB;R U SP;TAR LB;OIL P;SLIP%;INJ;L/Hr;L/100K;
9 ;0:18.20 ;4319 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;4.09 ;6.5;0.0;
9 ;0:18.30 ;4348 ;100 ;17.905 ;0.0 ;14.700 ;43.5 ;0 ;4.05 ;6.6;0.0;
9 ;0:18.40 ;4420 ;100 ;17.625 ;0.0 ;14.700 ;43.5 ;0 ;3.94 ;6.5;0.0;
9 ;0:18.50 ;4181 ;100 ;17.464 ;0.0 ;14.700 ;43.5 ;0 ;4.30 ;6.6;0.0;
9 ;0:18.60 ;4046 ;100 ;17.625 ;0.0 ;14.700 ;43.5 ;0 ;4.51 ;6.7;0.0;
9 ;0:18.70 ;4067 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;4.47 ;6.6;0.0;
9 ;0:18.80 ;3858 ;100 ;17.361 ;0.0 ;14.700 ;43.5 ;0 ;4.48 ;6.1;0.0;
9 ;0:18.90 ;3899 ;100 ;17.434 ;0.0 ;14.700 ;43.5 ;0 ;4.50 ;6.1;0.0;
9 ;0:19.00 ;3668 ;100 ;17.199 ;0.0 ;14.700 ;43.5 ;0 ;4.37 ;5.7;0.0;
9 ;0:19.10 ;3633 ;100 ;17.155 ;0.0 ;14.700 ;43.5 ;0 ;4.34 ;5.3;0.0;
9 ;0:19.20 ;3549 ;100 ;17.199 ;0.0 ;14.700 ;43.5 ;0 ;4.29 ;5.6;0.0;
9 ;0:19.30 ;3288 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;4.14 ;4.9;0.0;
9 ;0:19.40 ;3720 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;4.40 ;6.3;0.0;
9 ;0:19.50 ;3576 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;4.31 ;5.3;0.0;
9 ;0:19.60 ;4451 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;3.89 ;6.9;0.0;
9 ;0:19.70 ;4323 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;4.08 ;6.4;0.0;
9 ;0:19.80 ;4461 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;3.87 ;6.5;0.0;
9 ;0:19.90 ;4319 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;4.09 ;6.4;0.0;
9 ;0:20.00 ;4202 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;4.27 ;6.5;0.0;
9 ;0:20.10 ;4256 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;4.19 ;6.4;0.0;
9 ;0:20.20 ;4448 ;100 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;3.89 ;6.4;0.0;
9 ;0:20.30 ;4514 ;100 ;13.348 ;0.0 ;14.700 ;43.5 ;0 ;3.94 ;6.9;0.0;
9 ;0:20.40 ;4460 ;61 ;11.892 ;0.0 ;14.700 ;43.5 ;0 ;4.35 ;10.2;0.0;
9 ;0:20.50 ;4018 ;21 ;12.054 ;0.0 ;14.700 ;43.5 ;0 ;3.92 ;6.8;0.0;
9 ;0:20.60 ;3414 ;10 ;11.731 ;0.0 ;14.700 ;43.5 ;0 ;2.04 ;2.5;0.0;
9 ;0:20.70 ;3760 ;0 ;11.760 ;0.0 ;14.700 ;43.5 ;0 ;2.21 ;3.1;0.0;
9 ;0:20.80 ;3797 ;0 ;12.304 ;0.0 ;14.700 ;43.5 ;0 ;2.21 ;3.1;0.0;
9 ;0:20.90 ;3995 ;1 ;12.745 ;0.0 ;14.700 ;43.5 ;0 ;2.19 ;3.2;0.0;
9 ;0:21.00 ;4162 ;1 ;13.362 ;0.0 ;14.700 ;43.5 ;0 ;2.21 ;3.4;0.0;
9 ;0:21.10 ;4077 ;0 ;14.803 ;0.0 ;14.700 ;43.5 ;0 ;2.25 ;3.5;0.0;
9 ;0:21.20 ;4414 ;0 ;15.905 ;0.0 ;14.700 ;43.5 ;0 ;2.33 ;3.8;0.0;
9 ;0:21.30 ;4594 ;2 ;15.450 ;0.0 ;14.700 ;43.5 ;0 ;2.17 ;3.6;0.0;
9 ;0:21.40 ;4489 ;3 ;13.377 ;0.0 ;14.700 ;43.5 ;0 ;1.95 ;3.0;0.0;
